iter	Passed	Remaining
0	2	2809
1	5	2590
2	7	2474
3	9	2464
4	12	2435
5	15	2502
6	17	2521
7	20	2505
8	22	2494
9	25	2489
10	27	2498
11	30	2504
12	33	2524
13	35	2525
14	38	2509
15	40	2494
16	43	2493
17	45	2504
18	48	2504
19	50	2496
20	53	2488
21	55	2479
22	58	2471
23	60	2470
24	63	2495
25	67	2521
26	70	2531
27	72	2524
28	75	2525
29	78	2527
30	80	2526
31	83	2519
32	85	2516
33	88	2510
34	90	2505
35	93	2512
36	96	2509
37	98	2504
38	101	2500
39	103	2492
40	106	2486
41	108	2480
42	111	2478
43	114	2483
44	117	2483
45	119	2480
46	122	2477
47	124	2475
48	127	2471
49	129	2467
50	132	2462
51	134	2457
52	137	2464
53	140	2467
54	143	2465
55	146	2461
56	148	2459
57	151	2453
58	153	2452
59	156	2448
60	159	2449
61	161	2446
62	164	2443
63	166	2441
64	169	2440
65	172	2437
66	175	2439
67	177	2435
68	180	2430
69	183	2431
70	185	2429
71	188	2424
72	191	2428
73	193	2424
74	196	2423
75	199	2421
76	201	2417
77	204	2412
78	206	2412
79	209	2410
80	212	2410
81	215	2411
82	217	2406
83	220	2401
84	222	2400
85	225	2396
86	227	2390
87	230	2387
88	232	2383
89	235	2379
90	237	2376
91	240	2376
92	243	2375
93	245	2370
94	248	2367
95	250	2363
96	253	2359
97	256	2356
98	258	2353
99	261	2350
100	263	2347
101	266	2344
102	268	2341
103	271	2342
104	274	2338
105	276	2334
106	279	2330
107	281	2326
108	284	2322
109	287	2322
110	289	2318
111	291	2313
112	294	2309
113	296	2305
114	299	2301
115	301	2298
116	304	2295
117	306	2292
118	309	2289
119	311	2286
120	314	2282
121	316	2280
122	319	2278
123	321	2274
124	324	2270
125	326	2267
126	329	2263
127	331	2260
128	334	2258
129	337	2257
130	339	2253
131	342	2250
132	344	2247
133	347	2244
134	349	2242
135	352	2240
136	355	2238
137	357	2234
138	360	2231
139	362	2227
140	365	2224
141	367	2222
142	370	2218
143	372	2214
144	375	2211
145	377	2209
146	380	2206
147	382	2203
148	385	2203
149	388	2199
150	390	2197
151	393	2194
152	396	2192
153	398	2190
154	401	2188
155	403	2185
156	406	2182
157	408	2178
158	411	2176
159	413	2172
160	416	2170
161	419	2167
162	421	2164
163	424	2163
164	426	2160
165	429	2156
166	432	2154
167	434	2151
168	436	2148
169	439	2146
170	442	2143
171	444	2139
172	446	2136
173	449	2134
174	452	2131
175	454	2128
176	456	2124
177	459	2121
178	461	2117
179	463	2113
180	466	2110
181	469	2108
182	471	2105
183	474	2102
184	476	2099
185	478	2095
186	481	2092
187	483	2088
188	486	2085
189	488	2081
190	490	2078
191	493	2075
192	495	2072
193	498	2069
194	500	2067
195	503	2064
196	505	2061
197	508	2057
198	510	2055
199	513	2053
200	516	2052
201	519	2050
202	522	2051
203	525	2049
204	527	2046
205	530	2044
206	533	2043
207	535	2040
208	538	2037
209	540	2034
210	543	2031
211	545	2029
212	548	2027
213	550	2023
214	553	2020
215	555	2017
216	558	2014
217	560	2012
218	563	2009
219	566	2007
220	568	2004
221	571	2001
222	573	1998
223	576	1995
224	578	1992
225	581	1989
226	583	1987
227	586	1984
228	588	1981
229	590	1978
230	593	1975
231	596	1973
232	598	1970
233	601	1967
234	603	1965
235	606	1961
236	608	1959
237	610	1956
238	613	1953
239	615	1950
240	618	1947
241	620	1944
242	623	1942
243	626	1939
244	628	1937
245	630	1933
246	633	1931
247	636	1929
248	638	1927
249	641	1924
250	644	1921
251	646	1919
252	648	1916
253	651	1912
254	653	1910
255	656	1907
256	658	1904
257	661	1901
258	663	1898
259	666	1895
260	668	1893
261	671	1890
262	673	1887
263	676	1885
264	678	1882
265	681	1880
266	683	1877
267	686	1874
268	689	1872
269	691	1870
270	694	1867
271	696	1865
272	699	1862
273	701	1859
274	704	1856
275	706	1853
276	709	1851
277	711	1848
278	714	1846
279	717	1844
280	719	1841
281	722	1838
282	724	1836
283	727	1833
284	729	1831
285	732	1828
286	734	1825
287	737	1822
288	740	1820
289	742	1817
290	745	1815
291	747	1812
292	750	1810
293	752	1807
294	755	1804
295	758	1803
296	761	1801
297	763	1799
298	766	1796
299	768	1793
300	770	1790
301	773	1787
302	776	1785
303	779	1783
304	781	1781
305	784	1778
306	786	1776
307	789	1774
308	792	1771
309	794	1769
310	797	1766
311	800	1764
312	802	1761
313	805	1758
314	807	1756
315	810	1753
316	812	1751
317	815	1748
318	818	1746
319	820	1744
320	823	1742
321	826	1739
322	828	1737
323	831	1734
324	833	1731
325	836	1728
326	838	1726
327	841	1723
328	843	1720
329	846	1718
330	848	1715
331	851	1712
332	853	1710
333	856	1707
334	859	1705
335	861	1703
336	864	1700
337	867	1698
338	869	1696
339	872	1693
340	874	1690
341	877	1688
342	880	1685
343	882	1683
344	885	1680
345	887	1677
346	890	1675
347	893	1673
348	895	1670
349	898	1667
350	900	1665
351	903	1662
352	905	1659
353	908	1657
354	910	1654
355	913	1652
356	916	1649
357	918	1647
358	921	1644
359	923	1641
360	926	1639
361	928	1637
362	931	1634
363	934	1632
364	936	1629
365	939	1627
366	941	1624
367	944	1621
368	946	1619
369	949	1616
370	952	1614
371	954	1611
372	957	1609
373	959	1606
374	962	1603
375	964	1600
376	967	1598
377	969	1596
378	972	1594
379	975	1591
380	978	1588
381	980	1586
382	983	1583
383	985	1581
384	988	1578
385	990	1576
386	993	1573
387	996	1571
388	998	1568
389	1001	1565
390	1003	1563
391	1006	1561
392	1009	1558
393	1011	1556
394	1014	1553
395	1016	1551
396	1019	1548
397	1022	1545
398	1024	1543
399	1027	1540
400	1029	1537
401	1031	1535
402	1034	1532
403	1037	1530
404	1039	1527
405	1042	1524
406	1044	1521
407	1047	1519
408	1049	1516
409	1052	1514
410	1054	1511
411	1057	1508
412	1059	1506
413	1061	1503
414	1064	1500
415	1066	1497
416	1069	1494
417	1071	1492
418	1073	1489
419	1076	1486
420	1078	1483
421	1081	1481
422	1083	1478
423	1086	1475
424	1088	1472
425	1090	1469
426	1093	1467
427	1096	1464
428	1098	1462
429	1101	1459
430	1103	1456
431	1105	1454
432	1108	1451
433	1111	1449
434	1113	1446
435	1116	1444
436	1119	1441
437	1121	1438
438	1123	1436
439	1126	1433
440	1128	1430
441	1131	1428
442	1133	1425
443	1136	1422
444	1138	1420
445	1141	1417
446	1144	1415
447	1146	1413
448	1149	1410
449	1152	1408
450	1154	1405
451	1157	1403
452	1160	1401
453	1163	1398
454	1165	1396
455	1168	1393
456	1170	1391
457	1173	1388
458	1176	1386
459	1178	1383
460	1181	1381
461	1183	1378
462	1185	1375
463	1189	1373
464	1192	1371
465	1195	1369
466	1197	1366
467	1200	1364
468	1202	1361
469	1204	1358
470	1207	1356
471	1209	1353
472	1212	1350
473	1214	1348
474	1217	1345
475	1219	1342
476	1222	1340
477	1225	1338
478	1228	1336
479	1231	1333
480	1234	1331
481	1236	1329
482	1239	1326
483	1241	1324
484	1244	1321
485	1247	1319
486	1249	1316
487	1252	1313
488	1254	1311
489	1257	1308
490	1259	1305
491	1262	1303
492	1264	1300
493	1267	1298
494	1270	1295
495	1273	1293
496	1275	1291
497	1278	1288
498	1280	1285
499	1283	1283
500	1285	1280
501	1287	1277
502	1290	1275
503	1293	1272
504	1295	1270
505	1298	1267
506	1300	1264
507	1303	1261
508	1305	1259
509	1308	1256
510	1310	1254
511	1313	1251
512	1315	1248
513	1317	1246
514	1320	1243
515	1322	1240
516	1325	1238
517	1327	1235
518	1330	1232
519	1332	1230
520	1334	1227
521	1337	1224
522	1339	1222
523	1342	1219
524	1344	1216
525	1347	1214
526	1349	1211
527	1352	1208
528	1354	1206
529	1357	1203
530	1359	1201
531	1362	1198
532	1364	1195
533	1367	1193
534	1369	1190
535	1372	1188
536	1375	1185
537	1377	1183
538	1380	1180
539	1382	1177
540	1385	1175
541	1388	1172
542	1390	1170
543	1393	1167
544	1395	1165
545	1397	1162
546	1400	1159
547	1402	1157
548	1405	1154
549	1408	1152
550	1410	1149
551	1412	1146
552	1415	1144
553	1418	1141
554	1420	1139
555	1422	1136
556	1425	1133
557	1428	1131
558	1430	1128
559	1433	1126
560	1436	1123
561	1438	1121
562	1440	1118
563	1443	1115
564	1445	1113
565	1448	1110
566	1450	1107
567	1453	1105
568	1455	1102
569	1458	1099
570	1460	1097
571	1463	1094
572	1465	1092
573	1468	1089
574	1470	1087
575	1473	1084
576	1475	1081
577	1478	1079
578	1480	1076
579	1483	1074
580	1485	1071
581	1488	1068
582	1490	1066
583	1493	1063
584	1496	1061
585	1499	1059
586	1501	1056
587	1503	1053
588	1506	1051
589	1509	1048
590	1511	1046
591	1514	1043
592	1516	1041
593	1519	1038
594	1521	1035
595	1524	1033
596	1526	1030
597	1529	1028
598	1532	1025
599	1534	1023
600	1537	1020
601	1539	1017
602	1542	1015
603	1545	1013
604	1547	1010
605	1550	1007
606	1552	1005
607	1555	1002
608	1558	1000
609	1560	997
610	1563	995
611	1565	992
612	1568	990
613	1571	987
614	1573	985
615	1576	982
616	1578	980
617	1581	977
618	1584	975
619	1586	972
620	1589	970
621	1592	967
622	1594	964
623	1597	962
624	1599	959
625	1602	957
626	1604	954
627	1607	952
628	1609	949
629	1612	946
630	1614	944
631	1617	941
632	1619	939
633	1622	936
634	1625	934
635	1627	931
636	1630	928
637	1632	926
638	1635	923
639	1637	921
640	1640	918
641	1642	916
642	1645	913
643	1647	910
644	1650	908
645	1653	905
646	1655	903
647	1658	900
648	1660	898
649	1663	895
650	1666	893
651	1668	890
652	1671	888
653	1673	885
654	1675	882
655	1678	880
656	1681	877
657	1684	875
658	1686	872
659	1688	870
660	1691	867
661	1693	864
662	1696	862
663	1699	859
664	1701	857
665	1704	854
666	1706	852
667	1709	849
668	1712	847
669	1714	844
670	1717	841
671	1719	839
672	1721	836
673	1724	833
674	1726	831
675	1729	828
676	1731	826
677	1734	823
678	1736	821
679	1739	818
680	1742	816
681	1744	813
682	1747	810
683	1749	808
684	1752	805
685	1754	803
686	1757	800
687	1759	798
688	1762	795
689	1765	793
690	1767	790
691	1770	787
692	1772	785
693	1775	782
694	1778	780
695	1780	777
696	1783	775
697	1785	772
698	1787	769
699	1790	767
700	1792	764
701	1795	762
702	1798	759
703	1800	757
704	1802	754
705	1805	751
706	1808	749
707	1810	746
708	1812	744
709	1815	741
710	1817	738
711	1820	736
712	1823	733
713	1825	731
714	1828	728
715	1830	726
716	1833	723
717	1836	721
718	1838	718
719	1841	716
720	1843	713
721	1846	710
722	1848	708
723	1850	705
724	1853	703
725	1855	700
726	1858	697
727	1860	695
728	1863	692
729	1865	690
730	1868	687
731	1871	685
732	1873	682
733	1876	679
734	1878	677
735	1881	674
736	1883	672
737	1886	669
738	1888	667
